	Kingdom	Phylum	Class	Order	Family	Genus
ASV_5144	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	NA	NA
ASV_5145	Bacteria	Bacteroidetes	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium
ASV_5146	Eukaryota	NA	NA	NA	NA	NA
ASV_5147	Eukaryota	Ochrophyta	Diatomea	Bacillariophytina	Mediophyceae	Chaetoceros
ASV_5148	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nitrincolaceae	Marinobacterium
ASV_5149	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter
ASV_5150	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Blfdi19	NA
ASV_5151	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Blfdi19	NA
ASV_5152	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_5153	Eukaryota	Cercozoa	NA	NA	NA	NA
ASV_5154	Eukaryota	Ochrophyta	Diatomea	Bacillariophytina	Mediophyceae	Skeletonema
ASV_5155	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
ASV_5156	NA	NA	NA	NA	NA	NA
ASV_5157	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	NA
ASV_5158	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA
ASV_5159	Bacteria	Firmicutes	Bacilli	NA	NA	NA
ASV_5160	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	NA
ASV_5161	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Blastomonas
ASV_5162	Eukaryota	NA	NA	NA	NA	NA
ASV_5163	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Marinomonadaceae	Marinomonas
ASV_5164	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
ASV_5165	Bacteria	Planctomycetes	OM190	NA	NA	NA
ASV_5166	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium
ASV_5167	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV_5168	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	NA
ASV_5169	Bacteria	Actinobacteria	MB-A2-108	NA	NA	NA
ASV_5170	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV_5171	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	NA
ASV_5172	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium
ASV_5173	Bacteria	Omnitrophicaeota	NA	NA	NA	NA
ASV_5174	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	NA
ASV_5175	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA
ASV_5176	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	MgMjR-022	NA
ASV_5177	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA
ASV_5178	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	NA	NA
ASV_5179	Eukaryota	Ciliophora	Intramacronucleata	Spirotrichea	Choreotrichia	Eutintinnus
ASV_5180	Bacteria	Proteobacteria	Gammaproteobacteria	EV818SWSAP88	NA	NA
ASV_5181	Eukaryota	Ciliophora	Intramacronucleata	Conthreep	Oligohymenophorea	NA
ASV_5182	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Rhodopirellula
ASV_5183	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ASV_5184	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium
ASV_5185	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
ASV_5186	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaera
ASV_5187	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	NA	NA
ASV_5188	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Gimesiaceae	NA
ASV_5189	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromusa
ASV_5190	Bacteria	Planctomycetes	Phycisphaerae	CCM11a	NA	NA
ASV_5191	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	NA
ASV_5192	Bacteria	Planctomycetes	OM190	NA	NA	NA
ASV_5193	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nitrincolaceae	Marinobacterium
ASV_5194	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	NA
ASV_5195	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_5196	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
ASV_5197	Bacteria	Acidobacteria	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10
ASV_5198	Bacteria	Planctomycetes	OM190	NA	NA	NA
ASV_5199	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
ASV_5200	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
ASV_5201	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
ASV_5202	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA
ASV_5203	Bacteria	BRC1	NA	NA	NA	NA
ASV_5204	Bacteria	NA	NA	NA	NA	NA
ASV_5205	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae	Candidatus_Fritschea
ASV_5206	Bacteria	Omnitrophicaeota	NA	NA	NA	NA
ASV_5207	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Rubinisphaeraceae	NA
ASV_5208	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
ASV_5209	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_5210	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
ASV_5211	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	NA
ASV_5212	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	NA
ASV_5213	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
ASV_5214	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nitrincolaceae	NA
ASV_5215	Bacteria	Proteobacteria	Deltaproteobacteria	Bradymonadales	NA	NA
ASV_5216	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter
ASV_5217	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	NA
ASV_5218	Eukaryota	Nematoda	Chromadorea	Chromadorida	NA	NA
ASV_5219	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	NA
ASV_5220	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV_5221	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
ASV_5222	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	NA
ASV_5223	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Bernardetiaceae	Bernardetia
ASV_5224	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Proteiniphilum
ASV_5225	Eukaryota	NA	NA	NA	NA	NA
ASV_5226	Bacteria	Proteobacteria	Deltaproteobacteria	Bradymonadales	NA	NA
ASV_5227	NA	NA	NA	NA	NA	NA
ASV_5228	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	Anderseniella
ASV_5229	Bacteria	Proteobacteria	Deltaproteobacteria	RCP2-54	NA	NA
ASV_5230	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
ASV_5231	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	NA
ASV_5232	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium
ASV_5233	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	NA
ASV_5234	Bacteria	Gemmatimonadetes	BD2-11_terrestrial_group	NA	NA	NA
ASV_5235	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_5236	Bacteria	Kiritimatiellaeota	Kiritimatiellae	WCHB1-41	NA	NA
ASV_5237	Eukaryota	NA	NA	NA	NA	NA
ASV_5238	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	NA	NA
ASV_5239	Bacteria	Acidobacteria	Subgroup_9	NA	NA	NA
ASV_5240	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	NA
ASV_5241	Bacteria	Bacteroidetes	Ignavibacteria	OPB56	NA	NA
ASV_5242	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	NA	NA
ASV_5243	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	Porticoccus
ASV_5244	Eukaryota	NA	NA	NA	NA	NA
ASV_5245	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pir4_lineage
ASV_5246	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Blastomonas
ASV_5247	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group
ASV_5248	Eukaryota	Ciliophora	Intramacronucleata	Conthreep	Oligohymenophorea	NA
ASV_5249	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	NA
ASV_5250	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_5251	Bacteria	Patescibacteria	Gracilibacteria	JGI_0000069-P22	NA	NA
ASV_5252	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV_5253	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Dethiosulfatarculus
